Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
184;infrastructure;hhonors;00:13:49:C2:6F:AF;;6;No;None;No;11.0;1000;25600;5;0;0;0;5;IEEE 802.11b;;Thu Sep 25 18:54:34 2008;Thu Sep 25 18:54:36 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
185;infrastructure;linksys;00:1C:10:55:E6:85;;6;No;None;No;54.0;1000;25600;46;0;0;0;46;IEEE 802.11b;;Thu Sep 25 18:54:39 2008;Thu Sep 25 18:54:48 2008;0;-71;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
186;probe;CandlewoodWirelessB;00:21:00:0B:8E:0D;;0;No;None;No;11.0;1000;0;6;0;0;0;6;IEEE 802.11b;;Thu Sep 25 18:54:42 2008;Thu Sep 25 18:54:42 2008;0;-68;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
187;infrastructure;NETGEAR;00:14:6C:50:66:64;;6;No;WEP,TKIP,WPA,PSK,AES-CCM;No;36.0;1000;25600;33;2;2;0;35;IEEE 802.11b;;Thu Sep 25 18:54:43 2008;Thu Sep 25 18:54:48 2008;0;-73;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;348;None;0.0.0.0;
188;infrastructure;HH2;00:E0:B8:76:17:E8;;6;No;WEP,TKIP,WPA,PSK;No;54.0;11000;25600;10;2;2;0;12;IEEE 802.11b;;Thu Sep 25 18:54:46 2008;Thu Sep 25 18:54:47 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;158;None;0.0.0.0;
189;infrastructure;<no ssid>;00:A0:F8:61:4B:DF;;6;No;None;No;11.0;1000;25600;9;0;0;0;9;IEEE 802.11b;;Thu Sep 25 18:54:46 2008;Thu Sep 25 18:54:48 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
190;infrastructure;<no ssid>;00:A0:F8:61:4B:DE;;6;No;WEP;No;11.0;1000;25600;8;0;0;0;8;IEEE 802.11b;;Thu Sep 25 18:54:46 2008;Thu Sep 25 18:54:48 2008;0;-73;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
191;probe;Suburban;00:90:4B:B8:D7:36;;0;No;None;No;54.0;1000;0;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:54:49 2008;Thu Sep 25 18:54:49 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;TCP;192.168.1.12;
192;infrastructure;7771 4610;00:0F:CC:FF:96:44;;6;No;WEP;No;22.0;1000;25600;21;0;0;0;21;IEEE 802.11b;;Thu Sep 25 18:54:49 2008;Thu Sep 25 18:54:55 2008;0;-70;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
193;infrastructure;<no ssid>;00:A0:F8:5C:81:2B;;6;No;WEP;No;11.0;1000;25600;29;0;0;0;29;IEEE 802.11b;;Thu Sep 25 18:54:51 2008;Thu Sep 25 18:54:56 2008;0;-70;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
194;infrastructure;<no ssid>;00:A0:F8:5C:81:2C;;6;No;None;No;11.0;1000;25600;30;0;0;0;30;IEEE 802.11b;;Thu Sep 25 18:54:51 2008;Thu Sep 25 18:54:56 2008;0;-70;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
195;infrastructure;<no ssid>;00:A0:F8:5C:80:F9;;6;No;WEP;No;11.0;1000;25600;11;0;0;0;11;IEEE 802.11b;;Thu Sep 25 18:54:51 2008;Thu Sep 25 18:54:56 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
196;probe;<no ssid>;00:19:7E:66:F2:DF;;0;No;None;No;11.0;1000;0;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:54:53 2008;Thu Sep 25 18:54:53 2008;0;-77;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
197;infrastructure;<no ssid>;00:A0:F8:5C:80:FA;;6;No;None;No;11.0;1000;25600;10;0;0;0;10;IEEE 802.11b;;Thu Sep 25 18:54:54 2008;Thu Sep 25 18:54:56 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
198;infrastructure;TRAININGFORQUALITY;00:14:6C:3E:73:18;;6;No;WEP,TKIP,WPA,PSK;No;36.0;1000;25600;7;0;0;0;7;IEEE 802.11b;;Thu Sep 25 18:54:54 2008;Thu Sep 25 18:55:03 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
199;probe;OBT;00:1F:3C:32:94:8F;;0;No;None;No;18.0;1000;0;5;0;0;0;5;IEEE 802.11b;;Thu Sep 25 18:54:56 2008;Thu Sep 25 18:54:56 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
200;infrastructure;indy-office;00:1B:11:4C:7C:ED;;6;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:54:56 2008;Thu Sep 25 18:54:56 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
201;infrastructure;2WIRE891;00:14:95:81:6D:D9;;6;No;WEP;No;18.0;2000;25600;5;0;0;0;5;IEEE 802.11b;;Thu Sep 25 18:55:11 2008;Thu Sep 25 18:55:11 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
